split,image_count,minimum_width,median_width,maximum_width,minimum_height,median_height,maximum_height,median_pixel_count,median_aspect_ratio
Test,118,600,600.0,6688,450,450.0,4479,270000.0,1.3333333333333333
Train,2239,576,600.0,3872,450,450.0,2592,270000.0,1.3333333333333333
